epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
43;0.2733639808425331;0.9015735;0.6514814823448316;0.8938374366420967;0.5858077503774535;0.9117195;0.7656863;0.9811722;0.39305484;0.88268155;0.549035766754442;0.8587646621047571;0.2822775990718977;0.5056433408577878;0.90375584;0.62083334;0.96733665;0.3417431
44;0.27378929093937876;0.8993938;0.6580702674944153;0.8968034623033012;0.5950704225352113;0.9045661;0.8117359;0.9878683;0.33417213;0.88857853;0.5552322557466692;0.8604893734728689;0.2814506005535098;0.5137614678899083;0.90142244;0.6934673;0.9781048;0.31651375
45;0.2708220639932863;0.9027314;0.6639683857463583;0.8985564670436615;0.5995975855130785;0.916211;0.74367917;0.9768394;0.42929038;0.8845438;0.5488919460025808;0.8588766242747158;0.28410016493507606;0.5114678899082569;0.9097081;0.615942;0.9619526;0.38990825
46;0.2706018877864964;0.90239084;0.6548394067462873;0.8957457561117486;0.5903371917463512;0.91476977;0.7504521;0.9782574;0.41771516;0.8845438;0.545901896329451;0.8600308225267885;0.2857626855285511;0.5182648401826484;0.9085985;0.619403;0.9633884;0.38073394
47;0.2704001355896723;0.90239084;0.6584870488899812;0.8972172516663178;0.5918470055359839;0.91797197;0.72892565;0.974161;0.44388527;0.8857852;0.5398839314285308;0.8569979649229108;0.2877663062905059;0.5206422018348624;0.9112245;0.6205674;0.9615937;0.40137616
48;0.2683997238764735;0.9049792;0.6643512845758793;0.8979246225406056;0.5994974874371859;0.9180789;0.75342464;0.9773121;0.44287872;0.8836127;0.5374409298111809;0.8488708285859179;0.2914925883486543;0.5045871559633027;0.9093379;0.6101083;0.96123475;0.38761467
49;0.2725591385450103;0.90225464;0.6631962171625412;0.8985217169836172;0.596588058203713;0.9084972;0.8066667;0.9862927;0.36537492;0.88640594;0.5483199390676557;0.8582130837674612;0.28965072416596943;0.505720823798627;0.9025283;0.662037;0.97379756;0.32798165
50;0.2727649624271481;0.9021865;0.6581143312992221;0.897623191044293;0.5953699043784599;0.9114766;0.7752248;0.98227507;0.3905385;0.8857852;0.5526579877454114;0.8594257328582623;0.2845931613018874;0.5114678899082569;0.9057047;0.6404959;0.9687724;0.35550457
51;0.270762681146525;0.90259516;0.6626098817134449;0.8976599234237923;0.5979899497487438;0.9111549;0.7833164;0.9832204;0.38751888;0.88640594;0.5466591891893695;0.8581398144062382;0.28940018731811673;0.5;0.9049531;0.6495727;0.9705671;0.34862384
52;0.2687894743842478;0.90109664;0.666378761420275;0.9000069698352033;0.6001006036217303;0.90637654;0.8150766;0.987632;0.3482637;0.8895096;0.545316247394773;0.8526005683726627;0.2857638054650478;0.5068807339449541;0.90152013;0.70408165;0.97918165;0.31651375
53;0.26765675048038895;0.90109664;0.6663187650529141;0.9009688705275009;0.602918973326623;0.906906;0.80853516;0.986923;0.35279316;0.88640594;0.5458615409556944;0.8535221981466968;0.28910540923022987;0.5114678899082569;0.9014599;0.6682692;0.9752333;0.31880733
